3	Citigroup Inc	839423
10	BofA Merrill Lynch	619849
12	UBS Investment Bank	863758
17	Emerging Growth Equities, Ltd.	979
19	FIG Partners	2980
28	Haywood Securities Inc.	6065
35	Needham & Company	23613
44	Stephens, Inc.	34626
51	William Blair & Company L.L.C.	39463
92	JMP Securities	24848
94	Keefe, Bruyette, & Woods, Inc. 	34167
96	Leerink Swann LLC	15747
101	McAdams Wright Ragen	2802
110	Pacific Crest Securities	7645
112	Piper Jaffray Companies	125869
117	Mackie Research Capital Corporation	11089
135	Stonecap Securities Inc.	8907
137	Westhouse Securities Limited	1844
144	Collins Stewart LLC	15698
146	Goodbody Stockbrokers	6005
176	Stonegate Securities Inc.	935
187	Clarus Securities Inc.	4869
210	BMO Capital Markets, U.S. Equity Research	36419
221	National Bank Financial	49569
226	Capstone Investments	3726
228	BMO Capital Markets, Canadian Equity Research	86657
235	CRISIL Research	4474
244	Anand Rathi Financial Services Limited	7388
253	Beta Securities S.A.	907
260	SEB	31627
269	Longbow Research LLC	18741
271	NBK Capital	6073
285	Miller Tabak & Co., LLC	5460
287	FirstEnergy Capital Corp.	9873
294	Carnegie Investment Bank AB	20664
305	Salman Partners Inc.	4449
330	Commerzbank AG	28821
405	Phillip Securities	6597
446	Affin Hwang Capital	12429
530	Brics Securities Limited	3292
553	ICBPI	2127
564	China International Capital Corporation Limited	32277
571	COL Financial Group, Inc	1429
578	Coinvalores Ccvm Ltda.	2987
594	Daiwa Securities Co. Ltd.	85839
614	Dragon Capital	2277
630	Emkay Global Financial Services Ltd.	5067
687	Global Investment House	8262
696	Shinhan Investment Corp.	22235
705	Guotai Junan International Holdings Limited	6557
712	KB Investment & Securities Co., Ltd.	6660
737	IDBI Capital Market Services Ltd.	2166
762	Hilliard Lyons	5867
780	Jyske Bank A/S	16620
787	KBC Securities NV	10366
796	KGI Securities Co. Ltd.	39206
803	Kotak Securities Ltd.	9242
812	Lazard Capital Markets	21713
853	MERITZ Securities Co., Ltd.	3806
862	Mirabaud Securities LLP	759
873	National Securities Corporation	1663
898	OCBC Investment Research Pte Ltd.	12319
